All,Wszystko
"Use All","Użyj wszystkie"
"Default Product Sorting","Domyślnie sortowanie produktów"
"Use Config Settings","Używaj ustawienia z konfiguracji"
"Layered Navigation Price Step","Krok cen w nawigacji warstwowej"
"Search Engine Optimization","Optymalizacja dla wyszukiwarek"
"Meta Title","Meta tytuł"
"Meta Keywords","Słowa kluczowe"
"Meta Description","Meta opis"
"Use Parent Category Settings","Użyj ustawień kategorii nadrzędnej"
"New Theme","Nowy temat"
Layout,Układ
"Layout Update XML","XML aktualizacji Layoutu"
"Apply Design to Products","Zastosuj projekt do produktów"
"The category will be removed from the update and all scheduled changes will be lost.","The category will be removed from the update and all scheduled changes will be lost."
"Attribute Set","Zestaw cech"
AttributeSetText,AttributeSetText
StatusText,StatusText
"Remove Product from Update","Remove Product from Update"
Images,Obrazki
"The product will be removed from the update and all scheduled changes will be lost.","The product will be removed from the update and all scheduled changes will be lost."
"Currently Active","Currently Active"
Categories,Kategorie
Path,Ścieżka
"Catalog Url Rewrite Staging","Katalog Url Rewrite Staging"
"Preview mode doesn't allow submitting the order.","Tryb podglądu nie pozwala na składanie zamówień."
"Preview Quote Lifetime (minutes)","Czas życia (w minutach) zawartości koszyka w podglądzie"
"This block no longer exists.","Ten blok już nie istnieje."
"General Information",Ogólne
"Enable Block","Włącz blok"
"Block Title","Tytuł bloku"
Identifier,Identyfikator
"Store View","Widok sklepu"
"The block will be removed from the update and all scheduled changes will be lost.","The block will be removed from the update and all scheduled changes will be lost."
"Remove CMS page from Update","Remove CMS page from Update"
"Enable Page","Włącz stronę"
"Page Title","Tytuł strony"
"Content Heading","Nagłówek treści"
"Search Engine Optimisation","Optymalizacja dla wyszukiwarek"
"URL Key","Klucz URL"
"Page in Websites","Strona w witrynach"
"The page will be removed from the update and all scheduled changes will be lost.","The page will be removed from the update and all scheduled changes will be lost."
"CMS Pages","Strony CMS"
"CMS Blocks","Bloki CMS"
Save,Zapisz
Weight,Waga
Attributes,Cechy
"Attribute Code","Kod cechy"
"Attribute Label","Etykieta cechy"
Required,Wymagane
System,System
Visible,Widoczny
Scope,Zakres
Searchable,"Widoczny w wynikach wyszukiwania"
Comparable,Porównywalne
"The current module XML block name is undefined.","Obecna nazwa bloku XML jest niezdefiniowana."
"The current module form model pathname is undefined.","Nazwa ścieżki modelu formularza aktualnego modułu jest niezdefiniowana."
"Use helper with defined EAV entity.","Użyj pomocy ze zdefiniowaną jednostką EAV."
"Default EAV Form","Domyślny formularz EAV"
"Please correct the values for minimum and maximum text length validation rules.","Proszę poprawić wartości minimalne i maksymalne dla reguły walidacji długości tekstu."
"Please correct the values for minimum and maximum date validation rules.","Prosimy o poprawne wartości dla reguł sprawdzania poprawności daty minimalnej i maksymalnej."
"Text Field","Pole tekstowe"
"Text Area","Pole typu textarea"
"Multiple Line","Wiele linii"
Date,Data
Dropdown,"Lista rozwijana"
"Multiple Select","Wielokrotny wybór"
Yes/No,Tak/Nie
"File (attachment)","Plik (załącznik)"
"Image File","Plik obrazu"
Alphanumeric,Alfanumeryczne
"Numeric Only","Tylko numeryczne"
"Alpha Only","Tylko Alpha"
URL,URL
Email,E-mail
"Strip HTML Tags","Usuwanie elementów HTML"
"Escape HTML Entities","Zabezpieczaj elementy HTML"
"Normalize Date","Normalizuj datę"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Kod cechy jest niepoprawny. Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Store Credit","Kredyt w sklepie"
"Delete Orphan Balances","Usuń bilans sierot"
"Balance Change","Zmiana bilansu"
Balance,Bilans
"Customer notified","Klient powiadomiony"
Notified,Powiadomiony
"More information","Więcej informacji"
"Update Balance","Aktualizacja salda"
"An amount on which to change the balance","Kwota zmiany bilansu"
"Notify Customer by Email","Powiadom klienta przez e-mail"
"Send Email Notification From the Following Store View","Wyślij powiadomienie e-mail z następującego widoku sklepu"
Comment,Komentarz
"Failed to initialize customer","Nie można zainicjować klienta"
"The store credit payment has been removed from shopping cart.","Płatność kredytem kupieckim została usunięta z koszyka."
"You are not using store credit in your shopping cart.","Nie używasz kredytu sklepu w koszyku."
"Please set a website ID.","Wprowadź ID witryny."
"By admin: %1.","Przez Administratora: %1."
"By admin: %1. (%2)","Przez Administratora: %1. (%2)"
"Please also set the Store ID.","Podaj także ID sklepu."
"Please enter a store ID to send email notifications.","Wprowadź identyfikator sklepu do wysyłania powiadomień e-mail."
"Please specify a customer ID.","Proszę podać identyfikator klienta."
"Please specify a valid customer.","Określ prawidłowego klienta."
Created,Utworzono
Updated,Zaktualizowano
Used,Wykorzystane
Refunded,Zwrócone
Reverted,Odwrócony
"You need a balance to save your balance history.","Potrzebny jest balans żeby zapisywać historię balansu."
"Order #%1","Zamówienie #%1"
"There is no credit memo set to balance model.","Brak noty kredytowej przypisanej do modelu wyliczania sumy koszyka."
"Order #%1, creditmemo #%2","Zamówienie nr %1, korekta nr %2"
"Unknown balance history action code","Nieznany kod czynności historii salda"
"There is no order set to balance model.","Brak zamówienia przypisanego do modelu wyliczania sumy koszyka."
"You do not have enough store credit to complete this order.","Nie masz wystarczająco dużo kredytu sklepu do wykonania niniejszego zamówienia."
"You can't use more store credit than the order amount.","Nie można użyć ilości kredytu sklepu większej od kwoty zamówienia."
"Store Credit Balance","Saldo kredytu kupieckiego"
"Balance History","Historia bilansu"
"Refund Store Credit to Store Credit","Zwrócony kredyt kupiecki będzie przechowywany w kredycie kupieckim"
"Refund Money to Store Credit","Zwrot pieniędzy na konto kredytu kupieckiego"
"Refund to Store Credit","Zwrot na konto kredytu kupieckiego"
"Use Store Credit (%1 available)","Wykorzysta kredyt sklepowy (dostępne %1)"
"Your balance is:",Saldo:
"Use Store Credit","Użyj kredytu kupieckiego"
available,dostępne
"Refunded to Store Credit","Zwrócono na konto kredytu kupieckiego"
"Store Credit update","Store Credit update"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Zaktualizowaliśmy twoje <a href=""%store_url""> %store_name</a> konto i masz kredyt, którego możesz użyć płacąc za przyszłe zakupy."
"Your Store Credit balance is now %balance.","Twój Kredyt Sklepu wynosi teraz %balance."
"Store credit","Kredyt w sklepie"
"Store credit available","Dostępny kredyt sklepu"
"Your store credit was successfully applied","Pomyślnie zastosowano kartę kredytową w sklepie"
"Store Credit Options","Opcje kredytu kupieckiego"
"Enable Store Credit Functionality","Włącz kredyt kupiecki"
"Show Store Credit History to Customers","Pokaż klientom historię kredytu kupieckiego"
"Refund Store Credit Automatically","Zwróć kredyt kupiecki automatycznie"
"Store Credit Update Email Sender","Nadawca wiadomości e-mail o aktualizacji kredytu kupieckiego"
"Store Credit Update Email Template","Szablon wiadomości e-mail o aktualizacji kredytu kupieckiego"
"Customer Address Attributes","Atrybuty adresu nabywcy"
"Add New Attribute","Dodaj cechę"
"Save Attribute","Zapisz cechę"
"Delete Attribute","Usuń cechę"
"Edit Customer Address Attribute ""%1""","Edytuj atrybut adresu klienta ""%1"""
"New Customer Address Attribute","Nowy atrybut adresu klienta"
"Input Type","Typ pola"
"Lines Count","Liczba linii"
"Valid range 2-20","Prawidłowy zakres 2-20"
"Input Validation","Sprawdzanie danych wejściowych"
"Minimum Text Length","Minimalna długość  tekstu"
"Maximum Text Length","Maksymalna długość tekstu"
"Maximum File Size (bytes)","Maksymalny rozmiar pliku (bajty)"
"File Extensions","Rozszerzenia plików"
"Comma separated","Oddzielone przecinkami"
"Maximum Image Width (px)","Maksymalna szerokość obrazu (px)"
"Maximum Image Height (px)","Maksymalna wysokość obrazu (px)"
"Input/Output Filter","Filtr wejścia/wyjścia"
"Minimal value","Minimalna wartość"
"Maximum value","Maksymalna wartość"
"Add to Column Options","Dodaj jako kolumnę"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Wybierz ""Tak"" żeby dodać ten atrybut do listy w kolumnie w siatce klienta."
"Use in Filter Options","Użyj w opcjach filtrowania"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Wybierz ""Tak"" żeby dodać ten atrybut do listy opcji filtra w siatce klienta."
"Use in Search Options","Wykorzystanie w opcji wyszukiwania"
"Use in Search Option","Wykorzystanie w opcji wyszukiwania"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Wybierz ""Tak"" żeby dodać ten atrybut do listy opcji wyszukiwalnych w siatce klienta."
"Storefront Properties","Właściwości w sklepie"
"Show on Storefront","Pokaż na witrynie"
"Forms to Use In","Formularze do wykorzystania w"
Properties,Właściwości
"Manage Label / Options","Zarządzaj etykietami/opcjami"
"Attribute Information","Informacje cechy"
"Visible to Customer","Widoczny dla klienta"
"Customer Attributes","Cechy klienta"
"Edit Customer Attribute ""%1""","Edycja cechy klienta: %1"
"New Customer Attribute","Nowy atrybut klienta"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ta wartość jest używana wewnętrznie. Upewnij się, że nie ma spacji lub więcej niż %1 symboli."
"Manage Form Types","Zarządzanie rodzajami formularzy"
"New Form Type","Nowy typ formularza"
"Edit Form Type ""%1""","Edycja typu formularza: %1"
"Based On","Bazujący na"
"Form Label","Etykieta formularza"
"All Themes","Wszystkie motywy"
"For Theme","Dla motywu"
"Form Code","Kod formularza"
"Form Title","Tytuł formularza"
"New Fieldset","Nowy zestaw pól"
"Form Type Information","Formularz typu informacji"
"Type Code","Kod typu"
Label,Etykieta
Theme,Temat
Customer,Klient
"Manage Customer Address Attributes","Zarządzanie cechami adresu klienta"
"You cannot delete this attribute.","Nie można usunąć tego atrybutu."
"You deleted the customer address attribute.","Usunięto cechę adresu."
"We can't delete the customer address attribute right now.","W tym momencie nie można usunąć cechy adresu."
"This attribute no longer exists.","Taki atrybut nie istnieje."
"You cannot edit this attribute.","Nie można edytować tego atrybutu."
"Edit Customer Address Attribute","Edytuj atrybut adres klienta"
"You saved the customer address attribute.","Zapisano cechę adresu klienta."
"We can't save the customer address attribute right now.","W tym momencie nie można zapisać cechy adresu klienta."
"An attribute with this code already exists.","Atrybut z tym kodem już istnieje."
"Manage Customer Attributes","Zarządzanie atrybutami klienta"
"You deleted the customer attribute.","Usunięto cechę klienta."
"The attribute no longer exists.","Taki atrybut nie istnieje."
"Edit Customer Attribute","Edytuj cechę klienta"
"You saved the customer attribute.","Zapisano cechę klienta."
"We can't save the form type right now.","Nie można zapisać typu formularza."
"This system form type cannot be deleted.","Systemowy typ nie może zostać usunięty."
"The form type has been deleted.","Typ został usunięty."
"We can't delete the form type right now.","Nie można usunąć typu formularza."
"Customer Address Registration","Rejestracja adresu klienta"
"Customer Account Address","Adres konta klienta"
"Customer Registration","Rejestracja klienta"
"Customer Account Edit","Edycja konta klienta"
"Admin Checkout","Zamówienie admina"
"Length Only","Length Only"
"An attribute code must not be more than %1 characters.","Kod atrybutu nie może mieć więcej niż %1 znaków."
"Fieldset Properties","Właściwości zestawu pól"
"Fieldset Title","Tytuł zestawu pól"
"Fieldset Code","Kod zestawu pól"
"A fieldset with the same code alredy exists.","Zestaw pól z podanym kodem już istnieje."
"This fieldset is not empty!","Ten zestaw pól nie jest pusty!"
"Choose Website:","Wybierz stronę:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potwierdź zmianę poziomu. Wszystkie niezapisane dane zostaną utracone."
"* Required Fields","* pola wymagane"
"Contact Information","Informacje kontaktowe"
Company,Firma
"Phone Number","Numer telefonu"
Fax,Faks
Address,Adres
"Street Address","Adres pocztowy"
"Street Address %1","Ulica i numer %1"
"VAT Number","Numer NIP (VAT UE)"
City,Miasto
State/Province,Województwo
"Please select a region, state or province.","Wybierz województwo lub region."
"Zip/Postal Code","Kod pocztowy"
"This is your default billing address.","To jest twój domyślny adres rozliczeniowy."
"Use as my default billing address","Użyj jako domyślnego adresu rozliczeniowego"
"This is your default shipping address.","To jest twój domyślny adres wysyłkowy."
"Use as my default shipping address","Użyj jako domyślnego adresu dostawy"
"Save Address","Zapisz adres"
"Go back",Powrót
"Account Information","Dane konta"
"Change Email","Zmień adres email"
"Change Password","Zmień hasło"
"Change Email and Password","Zmień adres E-mail i hasło"
"Current Password","Bieżące hasło"
"New Password","Nowe hasło"
"Password Strength","Siła hasła"
